v_ms;jump_m
6.125425006807091;4.3608595784491
6.390308099390505;4.312651414129426
6.562579852408314;4.562663631984249
6.4384464473969;4.751307310466164
7.29829019848778;5.515481767469787
7.189502419135256;5.625686817981888
7.298876655519329;5.703566915445463
7.56331990532908;5.514294890144031
7.532335425495522;5.577129572095815
7.517527385448885;5.827979585709996
7.626706136155776;5.843164633848345
8.500185013230194;5.980318781286435
8.87585961335726;6.464529822038218
9.062939406421709;6.46369202627886
9.094412600448223;6.557594967640139
8.814721467818172;6.856653145573994
9.018026572088836;7.05950444380834
9.127449679892205;7.15305830360322
9.22040311939288;6.964554257747865
9.313307687474257;6.760376449561204
9.407629526715215;7.010737748982427
9.485726054749955;7.0574099544099465
9.969504234359402;7.211983272011338
10.15741484155188;7.477599435884189
10.064265916374023;7.603408432414318
10.173493538500209;7.634267242883972
10.220605586701392;7.743774130263277
10.158392269937798;7.791074682510315
10.112208778703234;7.97936927942583
10.190207563899383;7.994693960190738
10.283209874819352;7.821863676666689
10.283405360496536;7.884558725991915
10.345960777195202;7.946974510064022
10.39253523978413;7.884070011798956
10.42420391948783;8.04066800248546
10.470729510657462;7.9620897418890895
10.532942827421058;7.914789189642051
10.689184754909835;8.023807362828398
10.782675780022764;8.007714702617413
11.04760774402547;7.975180300629045
10.75022515761033;7.600336514630008
10.610159669908473;7.679333673106058
10.641486249677103;7.726215327473417
10.781942708733325;7.7726082676478185
10.813269288501953;7.819489922015178
